"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"http://t.co/0GS80ugxTj A lot of unanswered questions #POL351",FALSE,0,NA,2015-09-11 23:29:15,FALSE,NA,"642480051422928896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShannonLaGassa",0,FALSE,FALSE,NA,NA
"http://t.co/ZC3bGt3cr6 More on the presidential campaign #POL351",FALSE,0,NA,2015-09-11 23:25:44,FALSE,NA,"642479165007114240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShannonLaGassa",0,FALSE,FALSE,NA,NA
"http://t.co/xfDBEUoBGX California legislature approves assisted suicide #POL351",FALSE,0,NA,2015-09-11 23:23:46,FALSE,NA,"642478670423175168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShannonLaGassa",0,FALSE,FALSE,NA,NA
"Why would you steal a lawn chair? seriously why. #POL351",FALSE,0,NA,2015-09-11 21:01:17,FALSE,NA,"642442812689133568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NathanCoyne1",0,FALSE,FALSE,NA,NA
"The U.S has to send more aid to Syria and I completely agree http://t.co/i9pUAd0ev7 #POL351",FALSE,1,NA,2015-09-11 20:41:15,FALSE,NA,"642437772863741952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremyMcQueen24",0,FALSE,FALSE,NA,NA
"“@FoxNews: .@RealBenCarson
https://t.co/52Xf3rBCdu” I usually agree Ben Carson but I don't agree with his stance on body cameras #POL241",FALSE,0,"FoxNews",2015-09-11 20:26:23,FALSE,"642411203189301248","642434029401325568","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rosemk97",0,FALSE,FALSE,NA,NA
"Does privacy outweigh security? #POL353 http://t.co/dq3XovPRmc",FALSE,0,NA,2015-09-11 18:59:27,FALSE,NA,"642412153002160128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sheilactimmons",0,FALSE,FALSE,NA,NA
"FBI makes a fake news story to plant surveillance software in an individual's computer. So much for privacy #POL353 http://t.co/I2NHrgsLjv",FALSE,0,NA,2015-09-11 18:08:06,FALSE,NA,"642399232884908032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntoniaJosette",0,FALSE,FALSE,NA,NA
"Has America lost its respect for the freedom of religion? #POL353 http://t.co/lEljFOsOb4",FALSE,1,NA,2015-09-11 18:04:27,FALSE,NA,"642398313808007169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntoniaJosette",0,FALSE,FALSE,NA,NA
"The Baltimore pastor marching for Freddie Gray arrested during a peaceful protest #POL353 http://t.co/QdMceQkqiB",FALSE,0,NA,2015-09-11 18:00:40,FALSE,NA,"642397358421053440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntoniaJosette",0,FALSE,FALSE,NA,NA
"Reading this and similar articles, can we really say people have the inalienable right to possess guns? #POL353 http://t.co/SAxm2Hc3iM",FALSE,0,NA,2015-09-11 17:54:31,FALSE,NA,"642395812362911744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntoniaJosette",0,FALSE,FALSE,NA,NA
"#POL351  https://t.co/rYXRvsvkp7",FALSE,0,NA,2015-09-11 17:53:17,FALSE,NA,"642395501908914176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_Melfi",0,FALSE,FALSE,NA,NA
"Other politicians who have affairs face far less consequences - is this punishment just? #POL241 http://t.co/H2dGuwSeqL",FALSE,1,NA,2015-09-11 17:00:10,FALSE,NA,"642382134401990656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"Scare Headlines Exaggerated The U.S. Crime Wave #POL351 http://t.co/rs18jXLTTd",FALSE,0,NA,2015-09-11 16:49:40,FALSE,NA,"642379494548996096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"Most of us just accept this is how the world is, but it wasn't always the case #POL241 #POL351 #POL353 https://t.co/F9EVqRqMxy",FALSE,0,NA,2015-09-11 16:03:02,FALSE,NA,"642367758055948288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@CodyShagovac @emilyklienhenz of course they still depend on other government officials to take action. unlikely in certain areas #POL241",FALSE,0,"CodyShagovac",2015-09-11 16:01:22,FALSE,"642346717829013504","642367337702756352","194364675","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@CodyShagovac @emilyklienhenz depends on the official. sometimes impeachment or other disciplinary processes exist #POL241",FALSE,0,"CodyShagovac",2015-09-11 16:00:51,FALSE,"642346717829013504","642367208639889409","194364675","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@emilyklienhenz understandable! @soltofbc is there anything other then jail that we can do to these corrupt government officials #POL241",FALSE,0,"emilyklienhenz",2015-09-11 14:39:26,FALSE,"642334587067219968","642346717829013504","1646725075","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CodyShagovac",0,FALSE,FALSE,NA,NA
"@CodyShagovac @USATODAY #POL241",FALSE,0,"Molinamd44",2015-09-11 14:00:51,FALSE,"642336763139235840","642337009659420672","3458804662","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Molinamd44",0,FALSE,FALSE,NA,NA
"I think everyone should know what is in the Constitution.  #POL241 https://t.co/LKnABJiHLl",FALSE,0,NA,2015-09-11 13:52:14,FALSE,NA,"642334839711100928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emilyklienhenz",0,FALSE,FALSE,NA,NA
"@CodyShagovac @USATODAY  I agree. After all it is their job. They should get fired or leave, if they are not willing to do their job #POL241",FALSE,0,"CodyShagovac",2015-09-11 13:51:14,FALSE,"642153992433352705","642334587067219968","194364675","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emilyklienhenz",0,FALSE,FALSE,NA,NA
"#pol241 #pol351 https://t.co/gbQHKPXhyD",FALSE,0,NA,2015-09-11 12:51:07,FALSE,NA,"642319458644660224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soltofbc",0,FALSE,FALSE,NA,NA
"I don't see how the ""reality"" that black people are more violent explains away the disproportionate amount of black deaths #POL351",FALSE,0,NA,2015-09-11 02:33:36,FALSE,NA,"642164056242188292",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KofiPoliSci351A",0,FALSE,FALSE,NA,NA
"My main takeaway from class August 27th, 2015: Statistics about fatalities carry far more weight than those about misdemeanors(cont) #POL351",FALSE,0,NA,2015-09-11 02:25:45,FALSE,NA,"642162078673973248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KofiPoliSci351A",0,FALSE,FALSE,NA,NA
"http://t.co/gfFRVzwNxS #POL353",FALSE,0,NA,2015-09-11 02:02:45,FALSE,NA,"642156293759889408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barrett2215",0,FALSE,FALSE,NA,NA
"""@mashablegif: At least the ball is inflated enough to bounce when GRONKSPIKED. 14-0 @Patriots. http://t.co/zwUqBXKc5m"" #POL353",FALSE,0,NA,2015-09-11 01:59:50,FALSE,NA,"642155557911195648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barrett2215",0,FALSE,FALSE,NA,NA
"#POL241 I'm sick of these Government officials that think they can defy the law! https://t.co/kOMbv0KG2L",FALSE,0,NA,2015-09-11 01:53:37,FALSE,NA,"642153992433352705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CodyShagovac",0,FALSE,FALSE,NA,NA
"Iran nuclear deal survives: Democrats block disapproval vote  via the @FoxNews App #pol353 http://t.co/x1OAusxHVS",FALSE,0,NA,2015-09-10 21:39:12,FALSE,NA,"642089968068784128",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","LaPollaJames",0,FALSE,FALSE,NA,NA
"With the pressure of the Iran Nuclear deal really starting to heat up, do you really know what it entails? #POL353 http://t.co/XoUSfwFqmq",FALSE,0,NA,2015-09-10 20:14:26,FALSE,NA,"642068634697900033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pjcalac",0,FALSE,FALSE,NA,NA
"John Boehner has faced many hurdles up to this point, is his time as speaker coming to an end? http://t.co/JDm0LwVrsC #Pol353",FALSE,0,NA,2015-09-10 20:07:52,FALSE,NA,"642066984067301377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pjcalac",0,FALSE,FALSE,NA,NA
"http://t.co/9PYsacEcHu Freedom of religion does not mean the right to deny equality to others, MLK would turn in his grave
#pol353",FALSE,1,NA,2015-09-10 20:00:05,FALSE,NA,"642065026287824896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sjoseph843",0,FALSE,FALSE,NA,NA
"http://t.co/RrbARLxcif A parent should never bury his kid, but will stricter gun laws prevent criminals from committing crimes? #pol353",FALSE,0,NA,2015-09-10 19:53:26,FALSE,NA,"642063352718565376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sjoseph843",0,FALSE,FALSE,NA,NA
"There are numerous down falls to raising min wage as well, INFLATION. #pol353 https://t.co/jZwzu0JxVl",FALSE,1,NA,2015-09-10 19:43:04,FALSE,NA,"642060740124364800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","b_ritttt7",0,FALSE,FALSE,NA,NA
"What's the reality of something like this being possible, slim to none.. #POL353  https://t.co/4mYUw5XlHX",FALSE,0,NA,2015-09-10 19:37:53,FALSE,NA,"642059436824129536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","b_ritttt7",0,FALSE,FALSE,NA,NA
"What's everyone's opinions on the Iran Deal? #POL353",FALSE,0,NA,2015-09-10 19:34:53,FALSE,NA,"642058681421561857",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","b_ritttt7",0,FALSE,FALSE,NA,NA
"http://t.co/MlzTudUIQP Establishment Clause? #POL353",FALSE,0,NA,2015-09-10 19:33:06,FALSE,NA,"642058233692221441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","b_ritttt7",0,FALSE,FALSE,NA,NA
"Good (though admittedly biased) discussion of standards of review in college sex-assault hearings #POL351 http://t.co/9CUPiu9EXS",FALSE,0,NA,2015-09-10 19:31:33,FALSE,NA,"642057842959196161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"http://t.co/rsCiLjMuuT another battle of the branches? #pol353",FALSE,0,NA,2015-09-10 19:30:32,FALSE,NA,"642057588830511105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sjoseph843",0,FALSE,FALSE,NA,NA
"Ben Carson makes some questionable remarks regarding religious freedom
http://t.co/6Y7seGCYcU
#POL353",FALSE,0,NA,2015-09-10 19:29:26,FALSE,NA,"642057310668500992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cumminpr",0,FALSE,FALSE,NA,NA
"http://t.co/hwOwh8JExZ This is the type of people that we are negotiating with, how long until he foresees America's destruction? #pol353",FALSE,0,NA,2015-09-10 19:15:40,FALSE,NA,"642053846316019712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sjoseph843",0,FALSE,FALSE,NA,NA
"@VP minimum wage hikes have caused some McDonald's locations to adopt touch screen ordering in response #pol353",FALSE,0,"VP",2015-09-10 19:13:50,FALSE,"642048219531341824","642053384846094336","325830217","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Barrett2215",0,FALSE,FALSE,NA,NA
"http://t.co/6H0eSY4jrN Sanders is really coming on strong. He may end up pushing Hillary farther left #POL353",FALSE,0,NA,2015-09-10 19:09:15,FALSE,NA,"642052230405849088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B_rad41",0,FALSE,FALSE,NA,NA
"http://t.co/NQx07FKlCZ Another empty threat from Iran. I wonder if this will have any effect on the recent deal #POL353",FALSE,0,NA,2015-09-10 19:07:25,FALSE,NA,"642051768944324608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B_rad41",0,FALSE,FALSE,NA,NA
"http://t.co/ubEYfHU8xx Messy situation in Guatemala. It'll be interesting to see where things go from here. #POL353",FALSE,0,NA,2015-09-10 19:05:53,FALSE,NA,"642051386520272896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B_rad41",0,FALSE,FALSE,NA,NA
"Former Virginia Gov. Bob McDonnell seeking Supreme Court review @CNNPolitics http://t.co/rHgpVUuE4r #pol353",FALSE,0,NA,2015-09-10 19:04:05,FALSE,NA,"642050932029681664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lehnernf",0,FALSE,FALSE,NA,NA
"http://t.co/KJXsai0OVe  Since when is it someone's civil right to not do her job? #POL353",FALSE,0,NA,2015-09-10 19:03:27,FALSE,NA,"642050771182354432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B_rad41",0,FALSE,FALSE,NA,NA
"http://t.co/PASXexdvdl
Strong words from a man that tried so hard to be friendly with the U.S./Obama. #pol353",FALSE,0,NA,2015-09-10 19:03:23,FALSE,NA,"642050754375757824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lehnernf",0,FALSE,FALSE,NA,NA
"http://t.co/F597hASExO While I hate Socialism, Bernie Sanders does seem to be a man of the people as he walks the streets of DC #pol353",FALSE,0,NA,2015-09-10 18:59:47,FALSE,NA,"642049847818911744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alfanopolysci",0,FALSE,FALSE,NA,NA
"http://t.co/re0Yd3rBwl Is a school prayer board in a classroom a violation of the separation between Church and State? #POL353",FALSE,0,NA,2015-09-10 18:59:01,FALSE,NA,"642049656638316545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B_rad41",0,FALSE,FALSE,NA,NA
"http://t.co/7YhMXDaf1J Will Biden run for president? Hopefully not... #pol353",FALSE,0,NA,2015-09-10 18:56:05,FALSE,NA,"642048917228650496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alfanopolysci",0,FALSE,FALSE,NA,NA
"http://t.co/83gSKwh2ws great article about the seperation of church and state, including an interesting take on the Lemon test #pol353",FALSE,0,NA,2015-09-10 18:52:30,FALSE,NA,"642048015235215361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alfanopolysci",0,FALSE,FALSE,NA,NA
"http://t.co/Ofbty9wfJc
How do we separate religious issues from those of civil rights? #POL353",FALSE,0,NA,2015-09-10 18:44:57,FALSE,NA,"642046116406628352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntoniaJosette",0,FALSE,FALSE,NA,NA
"Thought the ACA was settled constitutional law? Think again. #POL353 http://t.co/wf9lhKxKq0",FALSE,0,NA,2015-09-10 18:09:49,FALSE,NA,"642037276202156033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","frannyblack4",0,FALSE,FALSE,NA,NA
"""There is no God but Allah"" http://t.co/NxgE1D2ey7 #POL353",FALSE,0,NA,2015-09-10 18:09:36,FALSE,NA,"642037219302219777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Barrett2215",0,FALSE,FALSE,NA,NA
"#pol241 - Are we really letting this man run for our highest position in our Government?  Aren't 51% of us women? https://t.co/wblR24RNaE",FALSE,0,NA,2015-09-10 17:03:11,FALSE,NA,"642020506682662912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AtalieSofia",0,FALSE,FALSE,NA,NA
"From the Washington Post: Key excerpts on religious liberty from the Supreme Court’s decision on gay marriage http://t.co/J2ZokYCrUA #POL353",FALSE,0,NA,2015-09-10 16:56:56,FALSE,NA,"642018932770111488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bangowitz",0,FALSE,FALSE,NA,NA
"@FoxNews @tedcruz agreed, were funding our own downfall #POL241",FALSE,0,"FoxNews",2015-09-10 16:32:22,FALSE,"641804621950922752","642012749657153536","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ejacobs97",0,FALSE,FALSE,NA,NA
"Funny guy! 
Mike Huckabee Thinks He Knows The Constitution Better Than The Supreme Court http://t.co/epPipAlebE via @HuffPostPol #POL353",FALSE,0,NA,2015-09-10 16:12:45,FALSE,NA,"642007813330481152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nate_johansen",0,FALSE,FALSE,NA,NA
"@FoxNews @SenTedCruz #POL241",FALSE,0,"ejacobs97",2015-09-10 16:10:08,FALSE,"642006239287840768","642007154627596288","1142336846","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ejacobs97",0,FALSE,FALSE,NA,NA
"@NathanCoyne1: Is a Corporation liable for the actions of an employee done in its name? #POL351 http://t.co/ngaiqwaJPT",FALSE,0,"NathanCoyne1",2015-09-10 16:09:31,FALSE,NA,"642007002613460993","402205916","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NathanCoyne1",0,FALSE,FALSE,NA,NA
"@NathanCoyne1 yes #POL351",FALSE,1,"NathanCoyne1",2015-09-10 15:49:36,FALSE,"641846583496212481","642001986519482368","402205916","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@Peter007Brown no ""enhanced senses"" needed here #POL351",FALSE,0,"Peter007Brown",2015-09-10 15:49:06,FALSE,"641849762258530305","642001863295008768","3453673755","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"#pol241 are officers getting a fair trial? not that they deserve it anyways https://t.co/WazdDAmwJR",FALSE,0,NA,2015-09-10 15:48:35,FALSE,NA,"642001732357234688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","madi1056",0,FALSE,FALSE,NA,NA
"RT soltofbc: Interesting #dataviz of web searches and gay marriage. Are there limitations to this data? #POL241 http://t.co/9yhFx8y5It",FALSE,0,NA,2015-09-10 15:48:29,FALSE,NA,"642001706373509120",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ClearGrip",0,FALSE,FALSE,NA,NA
"RT @sarahknepp: Eye-opening look into the application of the Fourth Amendment and Bill of Rights in post-9/11 era #POL351 http://t.co/1W9hY…",FALSE,0,NA,2015-09-10 15:48:24,FALSE,NA,"642001687419482112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",1,TRUE,FALSE,NA,NA
"@rosemk97 you would have enjoyed the debate in #POL353 last Tuesday. Good discussion of the law and politics behind the situation #POL241",FALSE,1,"rosemk97",2015-09-10 15:47:44,FALSE,"641657338349400064","642001518137344001","3452522896","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@ethompson477 included near unanimous support in both chambers #POL241 https://t.co/EW0aiZGD6W",FALSE,0,"soltofbc",2015-09-10 15:46:15,FALSE,"642001028565606401","642001144731074560","3234588499","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"Imagine our president in office for 63 years, 7 months and 5 days+ #POL241 http://t.co/IrtlyUcdwO",FALSE,0,NA,2015-09-10 15:46:03,FALSE,NA,"642001096874008576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xoSai",0,FALSE,FALSE,NA,NA
